Number,lattice_a,lattice_b,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,lattice area,monolayer PBE,monolayer hse,monolayer area,monolayer vaccun level,monolayer magnetic,pbe,gw
332,3.79196377,3.792264542,119.9973764,354.7184556,2.09,8,228,519.606,2.432425064,14.38012975,0,0,12.454,3.851,0,0,0
337,4.300436792,4.300436792,120,448.1150864,2.443333333,6,276,652.89788,2.419383924,18.4937566,1.954,2.668,16.016,3.248,0,2.2168,3.4053
343,5.224926358,5.229385057,119.9717994,677.7306044,1.86,8,532,1327.9332,3.253630487,27.32315182,0,0,23.669,3.034,0,0,0
344,3.516169835,3.516169839,90,334.2432556,2.39,6,128,273.54,1.35896192,12.36345032,1.344,2.434,12.363,2.969,0,1.2357,3.2316
348,3.621836278,3.621836278,120,307.6008985,2.37,6,200,461.12,2.489289785,13.11769802,0,0.378,11.36,3.738,0,0.1836,2.0301
351,3.372294534,3.372294534,120,286.877821,1.78,6,476,1192.9016,6.904889693,11.37237042,0,0,9.849,5.848,0,0,0
356,3.500189571,3.500189571,120,301.2676218,2.406666667,6,284,676.596,3.729289207,12.25132703,0.732,1.226,10.61,3.986,0,1.3438,2.418
359,3.349379619,3.349379619,120,271.2514837,2.54,6,212,498.792,3.053489665,11.21834383,0.908,1.471,9.715,4.035,0,0.9253,2.0859
362,3.77315511,3.77315511,120,354.9709401,2.206666667,6,356,864.59788,4.044552369,14.23669948,0.63,1.022,12.329,4.318,0,1.2223,2.0807
363,5.72436814,5.240159974,89.99970505,1230.548829,2.885,16,720,1785.5952,2.409535093,29.9966048,2.614,3.731,29.997,1.587,0,2.7089,3.8849
364,3.652181631,3.652181631,120,206.6728003,2.153333333,6,208,485.24,3.898722887,13.33843067,1.221,2.148,11.551,3.761,0,1.3625,2.9029
369,3.086637205,3.086637205,120,325.2195632,2.333333333,18,192,403.27416,2.059078152,9.527329235,0,0,8.251,4.601,0,0,0
370,3.298056846,3.298056846,120,342.9485224,2.422857143,14,492,1194.976413,5.78601419,10.87717896,0,0,9.42,5.896,0,0,0
371,3.772599911,3.772599911,120,336.434963,2.133333333,6,280,672.82,3.320831713,14.23251009,0.427,1.219,12.326,3.868,0,0.6719,2.1602
377,3.069589887,3.069589887,120,289.5731066,2.525714286,14,192,411.2384128,2.358221239,9.422382074,0,0,8.16,5.715,0,0,0
380,3.97713807,3.97713807,120,384.7875602,1.833333333,6,352,867.38,3.74315213,15.81762723,0,0,13.698,4.026,0,0,0
385,3.320783816,3.320783816,120,348.6145051,2.435714286,14,300,671.3804128,3.197954726,11.02760515,0,0,9.55,5.815,0,0,
386,3.138509656,3.138509656,120,302.1760905,2.397142857,14,302,669.47868,3.678965799,9.850242861,0,0,8.531,7.027,0,0,0
387,3.130537557,3.130537557,120,301.9553593,2.354285714,14,494,1197.72768,6.586647803,9.800265396,0,0,8.487,7.237,0,0,0
389,4.255196655,4.255197332,90,504.4615722,2.64,6,300,720.796,2.37264835,18.10670145,2.007,3.062,18.107,2.311,0,1.7987,4.7034
391,3.037990003,3.037990003,120,279.785565,2.371428571,14,188,399.2424,2.369520394,9.229383258,0,0.478,7.993,6.171,0,0,0
393,4.122802406,4.122801541,90,464.5735053,2.773333333,6,228,542.992,1.940832653,16.99749611,2.468,3.708,16.997,2.29,0,2.1911,5.6062
395,4.524049585,4.524049572,90,580.6872736,2.44,6,372,908.79788,2.598807399,20.46702459,1.54,2.397,20.467,2.557,0,1.4907,3.9386
396,3.180685827,3.180685827,120,314.9230259,2.588571429,14,190,401.7558848,2.118394931,10.11676233,0,0,8.761,5.202,0,0,0
399,3.457518289,3.457518289,120,382.3815309,2.528571429,14,298,665.4555128,2.889822826,11.95443272,0,0,10.353,5.282,0,0,
400,3.213334045,3.213334045,120,319.1139686,2.408571429,14,492,1190.9644,6.197293467,10.32551568,0.32,0.508,8.942,6.774,0,0.2762,1.9706
407,4.165715879,4.165715879,120,410.6709137,2.29,6,262,617.49397,2.496823676,17.35318878,0.877,3.311,15.028,3.391,1,0,0
411,2.894241418,2.894241418,120,180.833844,2.81,6,82,173.87369,1.59662621,8.376633386,1.132,4.137,7.254,3.05,1,0,0
414,3.349992622,3.349992622,120,256.7417461,2.236666667,6,114,238.13609,1.540202506,11.22245057,0,1.134,9.719,3.588,1,0,0
423,4.425200827,4.425200827,119.9888609,605.7246829,2.068,10,644,1601.5216,4.390425647,19.58240236,0.083,0.468,16.961,4.854,0,0.6164,0.8198
425,2.820498964,2.820498964,120,178.4359301,3.013333333,6,116,255.8776,2.381217453,7.955214406,0.912,1.651,6.889,4.128,0,0.8244,2.387
428,3.184066465,3.184066465,120,239.2922993,2.44,6,148,320.14,2.221571603,10.13827925,1.58,2.087,8.78,4.531,0,1.5448,2.5281
430,3.319748788,3.319748788,120,264.1473426,2.42,6,220,507.72,3.191737183,11.02073202,1.321,1.804,9.544,4.584,0,1.4352,2.078
433,3.614789856,3.614789856,120,361.5176053,1.752,10,258,581.4779,2.670870672,13.0667057,0,0,11.316,4.921,0,0,0
437,4.061655189,4.061655189,119.9813955,501.0420741,2.35,10,408,960.8,3.18425541,16.49704287,0.421,0.881,14.29,4.763,0,0.4651,2.0873
445,4.310483557,4.311698838,119.9906767,572.1733882,2.08,10,516,1252.64,3.63536246,18.58550694,0.337,0.699,16.097,4.871,0,0.4768,0
448,3.471529736,3.471529736,120,289.1875179,2.233333333,6,218,501.65276,2.880532368,12.05151871,0,0,10.437,4.31,0,0,0
450,3.652613221,3.652613221,120,328.3535405,1.933333333,6,290,696.21276,3.520864995,13.34158334,0,0,11.554,4.545,0,0,0
454,4.651114574,5.637580174,93.42070509,1147.283228,2.936,20,360,791.3656,1.145395891,26.22103131,4.256,5.515,26.174,1.526,0,4.1315,6.1557
459,3.699008446,3.699008446,120,315.3683962,2.61,6,196,437.0028,2.300992206,13.68266348,0.876,3.317,11.85,3.066,1,0,0
461,3.502416589,3.502416589,120,278.4205983,2.743333333,6,124,259.1988,1.545897596,12.26692196,1.219,4.082,10.623,3.094,1,0,0
